OrderID;Order Date;Product Name;Unit Sold;Unit Price;Category;Supplier Name;Supplier City;Supplier Country;Units In Stock;Units On Order;Reorder Level
10270;01/08/1996;Inlagd Sill;30;19;Seafood;Svensk Sjöföda AB;Stockholm;Sweden;112;0;20
10270;01/08/1996;Ipoh Coffee;25;46;Beverages;Leka Trading;Singapore;Singapore;17;10;25
10271;01/08/1996;Geitost;24;2,5;Dairy Products;Norske Meierier;Sandvika;Norway;112;0;20
10272;02/08/1996;Sir Rodney's Marmalade;6;81;Confections;Specialty Biscuits, Ltd.;Manchester;UK;40;0;0
10272;02/08/1996;Gorgonzola Telino;40;12,5;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;0;70;20
10272;02/08/1996;Mozzarella di Giovanni;24;34,8;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;14;0;0
10273;05/08/1996;Ikura;24;31;Seafood;Tokyo Traders;Tokyo;Japan;31;0;0
10273;05/08/1996;Gorgonzola Telino;15;12,5;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;0;70;20
10273;05/08/1996;Geitost;20;2,5;Dairy Products;Norske Meierier;Sandvika;Norway;112;0;20
10273;05/08/1996;Boston Crab Meat;60;18,4;Seafood;New England Seafood Cannery;Boston;USA;123;0;30
10273;05/08/1996;Lakkalikööri;33;18;Beverages;Karkki Oy;Lappeenranta;Finland;57;0;20
10274;06/08/1996;Flotemysost;20;21,5;Dairy Products;Norske Meierier;Sandvika;Norway;26;0;0
10274;06/08/1996;Mozzarella di Giovanni;7;34,8;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;14;0;0
10275;07/08/1996;Guaraná Fantástica;12;4,5;Beverages;Refrescos Americanas LTDA;Sao Paulo;Brazil;20;0;0
10275;07/08/1996;Raclette Courdavault;6;55;Dairy Products;Gai pâturage;Annecy;France;79;0;0
10276;08/08/1996;Ikura;15;31;Seafood;Tokyo Traders;Tokyo;Japan;31;0;0
10276;08/08/1996;Konbu;10;6;Seafood;Mayumi's;Osaka;Japan;24;0;5
10277;09/08/1996;Rössle Sauerkraut;20;45,6;Produce;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;26;0;0
10277;09/08/1996;Tarte au sucre;12;49,3;Confections;Forêts d'érables;Ste-Hyacinthe;Canada;17;0;0
10278;12/08/1996;Gula Malacca;16;19,45;Condiments;Leka Trading;Singapore;Singapore;27;0;15
10278;12/08/1996;Raclette Courdavault;15;55;Dairy Products;Gai pâturage;Annecy;France;79;0;0
10278;12/08/1996;Vegie-spread;8;43,9;Condiments;Pavlova, Ltd.;Melbourne;Australia;24;0;5
10278;12/08/1996;Röd Kaviar;25;15;Seafood;Svensk Sjöföda AB;Stockholm;Sweden;101;0;5
10279;13/08/1996;Alice Mutton;15;39;Meat/Poultry;Pavlova, Ltd.;Melbourne;Australia;0;0;0
10280;14/08/1996;Guaraná Fantástica;12;4,5;Beverages;Refrescos Americanas LTDA;Sao Paulo;Brazil;20;0;0
10280;14/08/1996;Pâté chinois;20;24;Meat/Poultry;Ma Maison;Montréal;Canada;115;0;20
10280;14/08/1996;Rhönbräu Klosterbier;30;7,75;Beverages;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;125;0;25
10281;14/08/1996;Teatime Chocolate Biscuits;1;9,2;Confections;Specialty Biscuits, Ltd.;Manchester;UK;25;0;5
10281;14/08/1996;Guaraná Fantástica;6;4,5;Beverages;Refrescos Americanas LTDA;Sao Paulo;Brazil;20;0;0
10281;14/08/1996;Steeleye Stout;4;18;Beverages;Bigfoot Breweries;Bend;USA;20;0;15
10282;15/08/1996;Nord-Ost Matjeshering;6;25,89;Seafood;Nord-Ost-Fisch Handelsgesellschaft mbH;Cuxhaven;Germany;10;0;15
10282;15/08/1996;Ravioli Angelo;2;19,5;Grains/Cereals;Pasta Buttini s.r.l.;Salerno;Italy;36;0;20
10283;16/08/1996;Genen Shouyu;20;15,5;Condiments;Mayumi's;Osaka;Japan;39;0;5
10283;16/08/1996;Teatime Chocolate Biscuits;18;9,2;Confections;Specialty Biscuits, Ltd.;Manchester;UK;25;0;5
10283;16/08/1996;Camembert Pierrot;35;34;Dairy Products;Gai pâturage;Annecy;France;19;0;0
10283;16/08/1996;Mozzarella di Giovanni;3;34,8;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;14;0;0
10284;19/08/1996;Schoggi Schokolade;15;43,9;Confections;Heli Süßwaren GmbH & Co. KG;Berlin;Germany;49;0;30
10284;19/08/1996;Gula Malacca;21;19,45;Condiments;Leka Trading;Singapore;Singapore;27;0;15
10284;19/08/1996;Camembert Pierrot;20;34;Dairy Products;Gai pâturage;Annecy;France;19;0;0
10284;19/08/1996;Laughing Lumberjack Lager;5;14;Beverages;Bigfoot Breweries;Bend;USA;52;0;10
10285;20/08/1996;Chai;45;18;Beverages;Exotic Liquids;London;UK;39;0;10
10285;20/08/1996;Boston Crab Meat;40;18,4;Seafood;New England Seafood Cannery;Boston;USA;123;0;30
10285;20/08/1996;Perth Pasties;36;32,8;Meat/Poultry;G'day, Mate;Sydney;Australia;0;0;0
10286;21/08/1996;Steeleye Stout;100;18;Beverages;Bigfoot Breweries;Bend;USA;20;0;15
10286;21/08/1996;Tarte au sucre;40;49,3;Confections;Forêts d'érables;Ste-Hyacinthe;Canada;17;0;0
10287;22/08/1996;Pavlova;40;17,45;Confections;Pavlova, Ltd.;Melbourne;Australia;29;0;10
10287;22/08/1996;Sasquatch Ale;20;14;Beverages;Bigfoot Breweries;Bend;USA;111;0;15
10287;22/08/1996;Spegesild;15;12;Seafood;Lyngbysild;Lyngby;Denmark;95;0;0
10288;23/08/1996;Tourtière;10;7,45;Meat/Poultry;Ma Maison;Montréal;Canada;21;0;10
10288;23/08/1996;Scottish Longbreads;3;12,5;Confections;Specialty Biscuits, Ltd.;Manchester;UK;6;10;15
10289;26/08/1996;Aniseed Syrup;30;10;Condiments;Exotic Liquids;London;UK;13;70;25
10289;26/08/1996;Wimmers gute Semmelknödel;9;33,25;Grains/Cereals;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;22;80;30
10290;27/08/1996;Chef Anton's Gumbo Mix;20;21,35;Condiments;New Orleans Cajun Delights;New Orleans;USA;0;0;0
10290;27/08/1996;Thüringer Rostbratwurst;15;123,79;Meat/Poultry;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;0;0;0
10290;27/08/1996;Maxilaku;15;20;Confections;Karkki Oy;Lappeenranta;Finland;10;60;15
10290;27/08/1996;Original Frankfurter grüne Soße;10;13;Condiments;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;32;0;15
10291;27/08/1996;Konbu;20;6;Seafood;Mayumi's;Osaka;Japan;24;0;5
10291;27/08/1996;Gula Malacca;24;19,45;Condiments;Leka Trading;Singapore;Singapore;27;0;15
10291;27/08/1996;Manjimup Dried Apples;2;53;Produce;G'day, Mate;Sydney;Australia;20;0;10
10292;28/08/1996;Sir Rodney's Marmalade;20;81;Confections;Specialty Biscuits, Ltd.;Manchester;UK;40;0;0
10293;29/08/1996;Carnarvon Tigers;12;62,5;Seafood;Pavlova, Ltd.;Melbourne;Australia;42;0;0
10293;29/08/1996;Guaraná Fantástica;10;4,5;Beverages;Refrescos Americanas LTDA;Sao Paulo;Brazil;20;0;0
10293;29/08/1996;Vegie-spread;5;43,9;Condiments;Pavlova, Ltd.;Melbourne;Australia;24;0;5
10293;29/08/1996;Rhönbräu Klosterbier;6;7,75;Beverages;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;125;0;25
10294;30/08/1996;Chai;18;18;Beverages;Exotic Liquids;London;UK;39;0;10
10294;30/08/1996;Alice Mutton;15;39;Meat/Poultry;Pavlova, Ltd.;Melbourne;Australia;0;0;0
10294;30/08/1996;Ipoh Coffee;15;46;Beverages;Leka Trading;Singapore;Singapore;17;10;25
10294;30/08/1996;Camembert Pierrot;21;34;Dairy Products;Gai pâturage;Annecy;France;19;0;0
10294;30/08/1996;Rhönbräu Klosterbier;6;7,75;Beverages;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;125;0;25
10295;02/09/1996;Gnocchi di nonna Alice;4;38;Grains/Cereals;Pasta Buttini s.r.l.;Salerno;Italy;21;10;30
10296;03/09/1996;Queso Cabrales;12;21;Dairy Products;Cooperativa de Quesos 'Las Cabras';Oviedo;Spain;22;30;30
10296;03/09/1996;Pavlova;30;17,45;Confections;Pavlova, Ltd.;Melbourne;Australia;29;0;10
10296;03/09/1996;Gudbrandsdalsost;15;36;Dairy Products;Norske Meierier;Sandvika;Norway;26;0;15
10297;04/09/1996;Chartreuse verte;60;18;Beverages;Aux joyeux ecclésiastiques;Paris;France;69;0;5
10297;04/09/1996;Mozzarella di Giovanni;20;34,8;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;14;0;0
10298;05/09/1996;Chang;40;19;Beverages;Exotic Liquids;London;UK;17;40;25
10298;05/09/1996;Inlagd Sill;40;19;Seafood;Svensk Sjöföda AB;Stockholm;Sweden;112;0;20
10298;05/09/1996;Raclette Courdavault;30;55;Dairy Products;Gai pâturage;Annecy;France;79;0;0
10298;05/09/1996;Tarte au sucre;15;49,3;Confections;Forêts d'érables;Ste-Hyacinthe;Canada;17;0;0
10299;06/09/1996;Teatime Chocolate Biscuits;15;9,2;Confections;Specialty Biscuits, Ltd.;Manchester;UK;25;0;5
10299;06/09/1996;Outback Lager;20;15;Beverages;Pavlova, Ltd.;Melbourne;Australia;15;10;30
10300;09/09/1996;Louisiana Hot Spiced Okra;30;17;Condiments;New Orleans Cajun Delights;New Orleans;USA;4;100;20
10300;09/09/1996;Scottish Longbreads;20;12,5;Confections;Specialty Biscuits, Ltd.;Manchester;UK;6;10;15
10301;09/09/1996;Boston Crab Meat;10;18,4;Seafood;New England Seafood Cannery;Boston;USA;123;0;30
10301;09/09/1996;Gnocchi di nonna Alice;20;38;Grains/Cereals;Pasta Buttini s.r.l.;Salerno;Italy;21;10;30
10302;10/09/1996;Alice Mutton;40;39;Meat/Poultry;Pavlova, Ltd.;Melbourne;Australia;0;0;0
10302;10/09/1996;Rössle Sauerkraut;28;45,6;Produce;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;26;0;0
10302;10/09/1996;Ipoh Coffee;12;46;Beverages;Leka Trading;Singapore;Singapore;17;10;25
10303;11/09/1996;Boston Crab Meat;40;18,4;Seafood;New England Seafood Cannery;Boston;USA;123;0;30
10303;11/09/1996;Louisiana Fiery Hot Pepper Sauce;30;21,05;Condiments;New Orleans Cajun Delights;New Orleans;USA;76;0;0
10303;11/09/1996;Scottish Longbreads;15;12,5;Confections;Specialty Biscuits, Ltd.;Manchester;UK;6;10;15
10304;12/09/1996;Maxilaku;30;20;Confections;Karkki Oy;Lappeenranta;Finland;10;60;15
10304;12/09/1996;Raclette Courdavault;10;55;Dairy Products;Gai pâturage;Annecy;France;79;0;0
10304;12/09/1996;Flotemysost;2;21,5;Dairy Products;Norske Meierier;Sandvika;Norway;26;0;0
10305;13/09/1996;Carnarvon Tigers;25;62,5;Seafood;Pavlova, Ltd.;Melbourne;Australia;42;0;0
10305;13/09/1996;Thüringer Rostbratwurst;25;123,79;Meat/Poultry;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;0;0;0
10305;13/09/1996;Chartreuse verte;30;18;Beverages;Aux joyeux ecclésiastiques;Paris;France;69;0;5
10306;16/09/1996;Nord-Ost Matjeshering;10;25,89;Seafood;Nord-Ost-Fisch Handelsgesellschaft mbH;Cuxhaven;Germany;10;0;15
10306;16/09/1996;Perth Pasties;10;32,8;Meat/Poultry;G'day, Mate;Sydney;Australia;0;0;0
10306;16/09/1996;Tourtière;5;7,45;Meat/Poultry;Ma Maison;Montréal;Canada;21;0;10
10307;17/09/1996;Tarte au sucre;10;49,3;Confections;Forêts d'érables;Ste-Hyacinthe;Canada;17;0;0
10307;17/09/1996;Scottish Longbreads;3;12,5;Confections;Specialty Biscuits, Ltd.;Manchester;UK;6;10;15
10308;18/09/1996;Gudbrandsdalsost;1;36;Dairy Products;Norske Meierier;Sandvika;Norway;26;0;15
10308;18/09/1996;Outback Lager;5;15;Beverages;Pavlova, Ltd.;Melbourne;Australia;15;10;30
10309;19/09/1996;Chef Anton's Cajun Seasoning;20;22;Condiments;New Orleans Cajun Delights;New Orleans;USA;53;0;0
10309;19/09/1996;Grandma's Boysenberry Spread;30;25;Condiments;Grandma Kelly's Homestead;Ann Arbor;USA;120;0;25
10309;19/09/1996;Singaporean Hokkien Fried Mee;2;14;Grains/Cereals;Leka Trading;Singapore;Singapore;26;0;0
10309;19/09/1996;Ipoh Coffee;20;46;Beverages;Leka Trading;Singapore;Singapore;17;10;25
10309;19/09/1996;Flotemysost;3;21,5;Dairy Products;Norske Meierier;Sandvika;Norway;26;0;0
10310;20/09/1996;Pavlova;10;17,45;Confections;Pavlova, Ltd.;Melbourne;Australia;29;0;10
10310;20/09/1996;Tarte au sucre;5;49,3;Confections;Forêts d'érables;Ste-Hyacinthe;Canada;17;0;0
10311;20/09/1996;Singaporean Hokkien Fried Mee;6;14;Grains/Cereals;Leka Trading;Singapore;Singapore;26;0;0
10311;20/09/1996;Gudbrandsdalsost;7;36;Dairy Products;Norske Meierier;Sandvika;Norway;26;0;15
10312;23/09/1996;Rössle Sauerkraut;4;45,6;Produce;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;26;0;0
10312;23/09/1996;Ipoh Coffee;24;46;Beverages;Leka Trading;Singapore;Singapore;17;10;25
10312;23/09/1996;Perth Pasties;20;32,8;Meat/Poultry;G'day, Mate;Sydney;Australia;0;0;0
10312;23/09/1996;Rhönbräu Klosterbier;10;7,75;Beverages;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;125;0;25
10313;24/09/1996;Inlagd Sill;12;19;Seafood;Svensk Sjöföda AB;Stockholm;Sweden;112;0;20
10314;25/09/1996;Mascarpone Fabioli;40;32;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;9;40;25
10314;25/09/1996;Escargots de Bourgogne;30;13,25;Seafood;Escargots Nouveaux;Montceau;France;62;0;20
10314;25/09/1996;Tarte au sucre;25;49,3;Confections;Forêts d'érables;Ste-Hyacinthe;Canada;17;0;0
10315;26/09/1996;Sasquatch Ale;14;14;Beverages;Bigfoot Breweries;Bend;USA;111;0;15
10315;26/09/1996;Outback Lager;30;15;Beverages;Pavlova, Ltd.;Melbourne;Australia;15;10;30
10316;27/09/1996;Jack's New England Clam Chowder;10;9,65;Seafood;New England Seafood Cannery;Boston;USA;85;0;10
10316;27/09/1996;Tarte au sucre;70;49,3;Confections;Forêts d'érables;Ste-Hyacinthe;Canada;17;0;0
10317;30/09/1996;Chai;20;18;Beverages;Exotic Liquids;London;UK;39;0;10
10318;01/10/1996;Jack's New England Clam Chowder;20;9,65;Seafood;New England Seafood Cannery;Boston;USA;85;0;10
10318;01/10/1996;Lakkalikööri;6;18;Beverages;Karkki Oy;Lappeenranta;Finland;57;0;20
10319;02/10/1996;Alice Mutton;8;39;Meat/Poultry;Pavlova, Ltd.;Melbourne;Australia;0;0;0
10319;02/10/1996;Rössle Sauerkraut;14;45,6;Produce;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;26;0;0
10319;02/10/1996;Lakkalikööri;30;18;Beverages;Karkki Oy;Lappeenranta;Finland;57;0;20
10320;03/10/1996;Flotemysost;30;21,5;Dairy Products;Norske Meierier;Sandvika;Norway;26;0;0
10321;03/10/1996;Steeleye Stout;10;18;Beverages;Bigfoot Breweries;Bend;USA;20;0;15
10322;04/10/1996;Filo Mix;20;7;Grains/Cereals;G'day, Mate;Sydney;Australia;38;0;25
10323;07/10/1996;Genen Shouyu;5;15,5;Condiments;Mayumi's;Osaka;Japan;39;0;5
10323;07/10/1996;NuNuCa Nuß-Nougat-Creme;4;14;Confections;Heli Süßwaren GmbH & Co. KG;Berlin;Germany;76;0;30
10323;07/10/1996;Chartreuse verte;4;18;Beverages;Aux joyeux ecclésiastiques;Paris;France;69;0;5
10324;08/10/1996;Pavlova;21;17,45;Confections;Pavlova, Ltd.;Melbourne;Australia;29;0;10
10324;08/10/1996;Steeleye Stout;70;18;Beverages;Bigfoot Breweries;Bend;USA;20;0;15
10324;08/10/1996;Spegesild;30;12;Seafood;Lyngbysild;Lyngby;Denmark;95;0;0
10324;08/10/1996;Raclette Courdavault;40;55;Dairy Products;Gai pâturage;Annecy;France;79;0;0
10324;08/10/1996;Vegie-spread;80;43,9;Condiments;Pavlova, Ltd.;Melbourne;Australia;24;0;5
10325;09/10/1996;Grandma's Boysenberry Spread;6;25;Condiments;Grandma Kelly's Homestead;Ann Arbor;USA;120;0;25
10325;09/10/1996;Konbu;12;6;Seafood;Mayumi's;Osaka;Japan;24;0;5
10325;09/10/1996;Tofu;9;23,25;Produce;Mayumi's;Osaka;Japan;35;0;0
10325;09/10/1996;Gorgonzola Telino;4;12,5;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;0;70;20
10325;09/10/1996;Mozzarella di Giovanni;40;34,8;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;14;0;0
10326;10/10/1996;Chef Anton's Cajun Seasoning;24;22;Condiments;New Orleans Cajun Delights;New Orleans;USA;53;0;0
10326;10/10/1996;Ravioli Angelo;16;19,5;Grains/Cereals;Pasta Buttini s.r.l.;Salerno;Italy;36;0;20
10326;10/10/1996;Rhönbräu Klosterbier;50;7,75;Beverages;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;125;0;25
10327;11/10/1996;Chang;25;19;Beverages;Exotic Liquids;London;UK;17;40;25
10327;11/10/1996;Queso Cabrales;50;21;Dairy Products;Cooperativa de Quesos 'Las Cabras';Oviedo;Spain;22;30;30
10327;11/10/1996;Nord-Ost Matjeshering;35;25,89;Seafood;Nord-Ost-Fisch Handelsgesellschaft mbH;Cuxhaven;Germany;10;0;15
10327;11/10/1996;Escargots de Bourgogne;30;13,25;Seafood;Escargots Nouveaux;Montceau;France;62;0;20
10328;14/10/1996;Raclette Courdavault;9;55;Dairy Products;Gai pâturage;Annecy;France;79;0;0
10328;14/10/1996;Louisiana Fiery Hot Pepper Sauce;40;21,05;Condiments;New Orleans Cajun Delights;New Orleans;USA;76;0;0
10328;14/10/1996;Scottish Longbreads;10;12,5;Confections;Specialty Biscuits, Ltd.;Manchester;UK;6;10;15
10329;15/10/1996;Teatime Chocolate Biscuits;10;9,2;Confections;Specialty Biscuits, Ltd.;Manchester;UK;25;0;5
10329;15/10/1996;Nord-Ost Matjeshering;8;25,89;Seafood;Nord-Ost-Fisch Handelsgesellschaft mbH;Cuxhaven;Germany;10;0;15
10329;15/10/1996;Côte de Blaye;20;263,5;Beverages;Aux joyeux ecclésiastiques;Paris;France;17;0;15
10329;15/10/1996;Gnocchi di nonna Alice;12;38;Grains/Cereals;Pasta Buttini s.r.l.;Salerno;Italy;21;10;30
10330;16/10/1996;Gumbär Gummibärchen;50;31,23;Confections;Heli Süßwaren GmbH & Co. KG;Berlin;Germany;15;0;0
10330;16/10/1996;Mozzarella di Giovanni;25;34,8;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;14;0;0
10331;16/10/1996;Tourtière;15;7,45;Meat/Poultry;Ma Maison;Montréal;Canada;21;0;10
10332;17/10/1996;Carnarvon Tigers;40;62,5;Seafood;Pavlova, Ltd.;Melbourne;Australia;42;0;0
10332;17/10/1996;Singaporean Hokkien Fried Mee;10;14;Grains/Cereals;Leka Trading;Singapore;Singapore;26;0;0
10332;17/10/1996;Zaanse koeken;16;9,5;Confections;Zaanse Snoepfabriek;Zaandam;Netherlands;36;0;0
10333;18/10/1996;Tofu;10;23,25;Produce;Mayumi's;Osaka;Japan;35;0;0
10333;18/10/1996;Sir Rodney's Scones;10;10;Confections;Specialty Biscuits, Ltd.;Manchester;UK;3;40;5
10333;18/10/1996;Flotemysost;40;21,5;Dairy Products;Norske Meierier;Sandvika;Norway;26;0;0
10334;21/10/1996;Filo Mix;8;7;Grains/Cereals;G'day, Mate;Sydney;Australia;38;0;25
10334;21/10/1996;Scottish Longbreads;10;12,5;Confections;Specialty Biscuits, Ltd.;Manchester;UK;6;10;15
10335;22/10/1996;Chang;7;19;Beverages;Exotic Liquids;London;UK;17;40;25
10335;22/10/1996;Gorgonzola Telino;25;12,5;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;0;70;20
10335;22/10/1996;Mascarpone Fabioli;6;32;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;9;40;25
